name: Imperator
art: wandler
klasse: imperator
grund: deck

# IMPERATOR - Titan der schwersten Klasse. Sechs Beine, sechs Decks.
#
# Bauform einer wandernden Kathedrale: fast rechteckig, sehr breit,
# gestufter Bug. Sie weicht nichts aus, sie geht hindurch. Eine volle
# Drehung dauert ueber anderthalb Minuten - wer den Kurs aendern will,
# plant ihn vorher.
#
# Sechs Beine im Dreifuss: drei tragen, drei treten. Er vertraegt zwei
# verlorene Beine, wenn sie verteilt liegen. Bleiben nur die beiden
# hinteren uebrig, kippt er nach vorn - sein Rumpf liegt dann weit vor der
# Strecke, die diese Fuesse aufspannen.
#
# Acht Geschuetze, und ein Mensch. Vom Reaktor im Unterdeck bis nach oben
# sind es fuenf Treppen.

bein: -7.6 -7.6 links
bein: -7.6  7.6 rechts
bein:  0.0 -8.2 links
bein:  0.0  8.2 rechts
bein:  6.4 -7.6 links
bein:  6.4  7.6 rechts

--- ebene 0 ---
   ################
  #................####
 #.....................#
#.......................##
#....A....A...A...........##
#...........................#
#............................#
#..............>.............#
#.............................#
#...R..E..........Y...........#
#.............................#
#............................#
#............................#
#...........................#
#....A....A...A...........##
#.......................##
 #.....................#
  #................####
   ################

--- ebene 1 ---
 
    ##############
  ##..............####
  #...................##
  #.....................#
  #..........M...........###
  #.....Y.........M........#
  #............<............#
  #............>............#
  #.........................#
  #.........................#
  #.........................#
  #.....L.........M........#
  #..........M...........###
  #.....................#
  #...................##
  ##..............####
    ##############
 

--- ebene 2 ---
 
 
 
   ##################
   #.......B.........###
   #....................#
   #...W.........L.......##
   #.......................#
   #...........<...........#
   #...........>...........#
   #.......................#
   #.......................#
   #...W.........L.......##
   #....................#
   #.......B.........###
   ##################
 
 
 

--- ebene 3 ---
 
 
 
 
    ################
    #.........M.....###
    #...M..............#
    #..............M....###
    #.....................#
    #..........<..........#
    #..........>..........#
    #..............M....###
    #...M..............#
    #.........M.....###
    ################
 
 
 
 

--- ebene 4 ---
 
 
 
 
 
     ##############
     #....K........####
     #.................#
     #..................##
     #.B...........T.....#
     #.........<........##
     #.........>.......#
     #....F........####
     ##############
 
 
 
 
 

--- ebene 5 ---
 
 
 
 
 
 
       ############
       #GG....G....####
       #.............G.#
       #...............#
       #.............G.#
       #GG....G<...####
       ############
 
 
 
 
 
 
